domain,support_seed,arm,variant,condition,temperature,count,macro_f1,balanced_accuracy,nll,brier,ece
hospital_2,0,frozen,raw,gaussian4,0.2825075089245509,60,0.5368941031182464,0.5833333333333334,0.677980220895259,0.4831347886395168,0.04274367453508473
hospital_2,0,frozen,temperature,gaussian4,0.2825075089245509,60,0.5368941031182464,0.5833333333333334,0.9251318054660521,0.5961009268983503,0.2595230928510549
hospital_2,0,frozen,raw,gaussian8,0.2825075089245509,60,0.569377990430622,0.6,0.6597322998433647,0.4678405678345789,0.05261972851140132
hospital_2,0,frozen,temperature,gaussian8,0.2825075089245509,60,0.569377990430622,0.6,0.888324440436487,0.5908808921014151,0.25160309318921503
hospital_2,0,frozen,raw,jpeg40,0.2825075089245509,60,0.5251661918328585,0.5833333333333334,0.7005202953107212,0.504681667205891,0.0695417541648931
hospital_2,0,frozen,temperature,jpeg40,0.2825075089245509,60,0.5251661918328585,0.5833333333333334,1.0996201838626158,0.6683149906296887,0.30646917120424355
hospital_2,0,frozen,raw,jpeg70,0.2825075089245509,60,0.45546218487394957,0.55,0.7327918735047184,0.5359620474229501,0.16954740981943683
hospital_2,0,frozen,temperature,jpeg70,0.2825075089245509,60,0.45546218487394957,0.55,1.183212240470017,0.7445740263295106,0.32329205359668844
hospital_2,0,lora1,raw,clean,1.1246826503806984,60,0.36079545454545453,0.5,0.7208087177455932,0.5265931722390785,0.17870517925253104
hospital_2,0,lora1,temperature,clean,1.1246826503806984,60,0.36079545454545453,0.5,0.709454995599229,0.5165033587853444,0.1731983007139989
hospital_2,0,lora1,raw,gaussian4,1.1246826503806984,60,0.3433652530779754,0.4666666666666667,0.7351494641780896,0.5406476771766031,0.2152551176405602
hospital_2,0,lora1,temperature,gaussian4,1.1246826503806984,60,0.3433652530779754,0.4666666666666667,0.7217885926393534,0.5288237788731596,0.22719153969463426
hospital_2,0,lora1,raw,gaussian8,1.1246826503806984,60,0.3693367162015223,0.5166666666666667,0.7100152775741561,0.5161927982251303,0.16520932757216067
hospital_2,0,lora1,temperature,gaussian8,1.1246826503806984,60,0.3693367162015223,0.5166666666666667,0.6995472898735116,0.5070216311091524,0.1474932963134601
