domain,support_seed,arm,optimized_scalars,basis_scalars,serialized_state_bytes,optimizer_updates,fitting_visits,basis_visits,fit_wall_seconds,extraction_seconds,temperature_scalars,output_bias_scalars,gpu,latency_repeat_count,seconds_per_query_mean,seconds_per_query_repeat_sd,peak_allocated_bytes
noto-earthquake,2,lora4,10092544,0,40409563,24,72,0,24.821361938025802,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
noto-earthquake,2,aperture,1024,32768,138679,4,72,18,21.478162859915756,4.712010803981684,1,0,NVIDIA GeForce RTX 4090,0,,,16974391808
turkey-earthquake,0,frozen,0,0,0,0,0,0,0.0005780369974672794,0.0,1,2,NVIDIA GeForce RTX 4090,3,0.5378490384448216,0.009005921059212902,16974386688
turkey-earthquake,0,lora1,10092544,0,40409563,6,18,0,6.843857500003651,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.5667729573033284,0.009047712930114148,17014756864
turkey-earthquake,0,lora4,10092544,0,40409563,24,72,0,25.15771224501077,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.5677349399742928,0.01142300975839421,17014756864
turkey-earthquake,0,aperture,1024,32768,138679,4,72,18,21.886324233957566,4.712285356014036,1,0,NVIDIA GeForce RTX 4090,3,0.5117273286968057,0.003687116939219355,16974391808
turkey-earthquake,1,frozen,0,0,0,0,0,0,0.0005884109996259212,0.0,1,2,NVIDIA GeForce RTX 4090,0,,,16974386688
turkey-earthquake,1,lora1,10092544,0,40409563,6,18,0,6.884673723950982,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
turkey-earthquake,1,lora4,10092544,0,40409563,24,72,0,24.937360373907723,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
turkey-earthquake,1,aperture,1024,32768,138679,4,72,18,21.889426511945203,4.7094993280479684,1,0,NVIDIA GeForce RTX 4090,0,,,16974391808
turkey-earthquake,2,frozen,0,0,0,0,0,0,0.0006446170154958963,0.0,1,2,NVIDIA GeForce RTX 4090,0,,,16974386688
turkey-earthquake,2,lora1,10092544,0,40409563,6,18,0,6.778108580969274,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
turkey-earthquake,2,lora4,10092544,0,40409563,24,72,0,25.44023339007981,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
turkey-earthquake,2,aperture,1024,32768,138679,4,72,18,21.810121900052764,4.871910598943941,1,0,NVIDIA GeForce RTX 4090,0,,,16974391808
hospital_2,0,frozen,0,0,0,0,0,0,0.0005837440257892013,0.0,1,1,NVIDIA GeForce RTX 4090,3,0.10451710566606683,0.0015797143638345793,16628142592
