domain,support_seed,arm,temperature,calibration_count,raw_calibration_nll,temperature_calibration_nll,selected_lora_raw,selected_lora_temperature
hawaii-wildfire,0,frozen,4.477442277136681,6,1.3354163969369448,1.118041138573763,lora4,lora4
hawaii-wildfire,0,lora1,3.357608036245122,6,1.2119949860116794,1.1157660107119238,lora4,lora4
hawaii-wildfire,0,lora4,1.8881217525718474,6,1.1227941367112069,1.1070742484186136,lora4,lora4
hawaii-wildfire,0,aperture,2.6670428643266484,6,1.1584292855150091,1.113551058408407,lora4,lora4
hawaii-wildfire,1,frozen,2.0000000000000004,6,1.1275515783219567,1.0699916918068157,lora4,lora4
hawaii-wildfire,1,lora1,0.597076523783592,6,1.008027960050964,0.9915508093758131,lora4,lora4
hawaii-wildfire,1,lora4,0.3767298178979602,6,0.9211471028657613,0.8322318547709554,lora4,lora4
hawaii-wildfire,1,aperture,2.6670428643266484,6,1.1973292441193972,1.0656751698587432,lora4,lora4
hawaii-wildfire,2,frozen,4.742747411323311,6,1.3392050749193707,1.1245578444461337,lora1,lora4
hawaii-wildfire,2,lora1,3.9905246299377604,6,1.2409641426353055,1.1245298465051852,lora1,lora4
hawaii-wildfire,2,lora4,3.767298178979603,6,1.258138302650089,1.1170216026651898,lora1,lora4
hawaii-wildfire,2,aperture,2.0000000000000004,6,1.1221211763235723,1.0942951610439395,lora1,lora4
libya-flood,0,frozen,7.096267784671511,6,1.537617439373826,1.1317562857863142,lora4,lora1
libya-flood,0,lora1,7.516748085768888,6,1.623161669064504,1.1312067152020013,lora4,lora1
libya-flood,0,lora4,7.096267784671511,6,1.4153424375727701,1.1361639441605087,lora4,lora1
libya-flood,0,aperture,2.6670428643266484,6,1.1663560076497008,1.1098712382324556,lora4,lora1
libya-flood,1,frozen,4.477442277136681,6,1.3772460166716538,1.108634093729223,lora4,lora4
libya-flood,1,lora1,4.742747411323311,6,1.4031794358709984,1.1157930142257175,lora4,lora4
libya-flood,1,lora4,2.5178508235883355,6,1.1680260885416531,1.1026339691707683,lora4,lora4
libya-flood,1,aperture,1.2619146889603867,6,1.0508688502456185,1.047096585601445,lora4,lora4
libya-flood,2,frozen,3.9905246299377604,6,1.3212710757257031,1.1100385103501103,lora4,lora4
libya-flood,2,lora1,5.023772863019162,6,1.4373622525769212,1.114175616851196,lora4,lora4
libya-flood,2,lora4,1.0617688884619771,6,1.0569879326033187,1.0567735458134522,lora4,lora4
libya-flood,2,aperture,3.357608036245122,6,1.186836648448107,1.1209655925149258,lora4,lora4
noto-earthquake,0,frozen,5.32145011959762,6,1.354085090265152,1.1262458804311282,lora1,lora4
noto-earthquake,0,lora1,4.477442277136681,6,1.2853261533411333,1.1260606095519738,lora1,lora4
noto-earthquake,0,lora4,4.477442277136681,6,1.2907412328513028,1.1240269769768145,lora1,lora4
noto-earthquake,0,aperture,5.32145011959762,6,1.309016905585073,1.129313501538696,lora1,lora4
noto-earthquake,1,frozen,3.556558820077846,6,1.2459538995676507,1.1083793456906514,lora4,lora4
noto-earthquake,1,lora1,3.1697863849222285,6,1.2189969951932762,1.1057448820341855,lora4,lora4
noto-earthquake,1,lora4,1.5886564694485632,6,1.0901231653081933,1.0741647901292912,lora4,lora4
noto-earthquake,1,aperture,1.2619146889603867,6,1.0710469829917502,1.0681541253909625,lora4,lora4
noto-earthquake,2,frozen,1.5886564694485632,6,1.047038453269002,1.024652918347485,lora4,lora4
noto-earthquake,2,lora1,1.4997884186649117,6,1.0514467012581545,1.0289265172013384,lora4,lora4
noto-earthquake,2,lora4,0.597076523783592,6,0.9394299081278613,0.9136700489119817,lora4,lora4
noto-earthquake,2,aperture,0.25178508235883346,6,0.9169909283520484,0.7465499333449195,lora4,lora4
turkey-earthquake,0,frozen,4.226978079673295,6,1.3193889588596381,1.112466647688563,lora4,lora4
turkey-earthquake,0,lora1,2.5178508235883355,6,1.1790306278731286,1.0925968178877374,lora4,lora4
turkey-earthquake,0,lora4,1.2619146889603867,6,0.9182661493355696,0.906427997219311,lora4,lora4
turkey-earthquake,0,aperture,1.4997884186649117,6,1.0902087569928247,1.0799471625234238,lora4,lora4
turkey-earthquake,1,frozen,2.9924713121888673,6,1.225835814915014,1.09119167877949,lora4,lora4
